dataset_name,experiment_number,approach,missing_data_handling,imputation_method,features_name,n_features,use_missing_indicator_variables,scale_data,sampling_method,scenario,num_samples,imbalance_ratio,ratio_of_missing_values,ratio_missing_per_class_0,ratio_missing_per_class_1,resolution,bandwidth,estimation_time,num_cv,auc,Accuracy,F1,MCC,Sensitivity,Specificity,Precision,PPV,NPV,FNR,FDR,FOR
complete_autism,428,xgboost,encoding,without,"['S_postural_sway', 'mean_gaze_percent_right', 'NS_postural_sway', 'proportion_of_name_call_responses', 'NS_postural_sway_derivative', 'gaze_silhouette_score']",6,False,True,smote,asd_td_age_matched_n_unbalanced,297,0.32,0.08810325476992144,0.05925925925925926,0.17824074074074073,20,0.2,2.761678457260132,8,,0.801,0.528,0.413,0.458,0.911,0.623,0.623,0.84,0.542,0.377,0.16
complete_autism,3643,xgboost,imputation,mice,"['S_postural_sway', 'mean_gaze_percent_right', 'proportion_of_name_call_responses', 'gaze_silhouette_score']",4,True,False,smote,asd_td_age_matched_n_balanced,237,0.926829268292683,0.058544303797468354,0.03048780487804878,0.08881578947368421,20,0.2,2.5890719890594482,8,,0.776,0.782,0.559,0.833,0.724,0.736,0.736,0.824,0.167,0.264,0.176
complete_autism,4745,ebm,imputation,mean,"['S_postural_sway', 'mean_gaze_percent_right']",2,False,False,vanilla,asd_td_age_matched_n_balanced,237,0.926829268292683,0.11814345991561181,0.06097560975609756,0.17982456140350878,20,0.2,11.406883239746094,8,,0.743,0.745,0.488,0.781,0.707,0.712,0.712,0.777,0.219,0.288,0.223
complete_autism,4306,LogisticRegression,imputation,knn,"['S_postural_sway', 'mean_gaze_percent_right', 'NS_postural_sway']",3,False,False,smote,asd_td_age_matched_n_unbalanced,297,0.32,0.08866442199775533,0.05925925925925926,0.18055555555555555,20,0.2,0.036443233489990234,8,,0.795,0.43,0.354,0.319,0.947,0.657,0.657,0.813,0.681,0.343,0.187
complete_autism,4655,ebm,imputation,mean,"['S_postural_sway', 'mean_gaze_percent_right', 'proportion_of_name_call_responses', 'gaze_silhouette_score']",4,True,False,vanilla,asd_td_age_matched_n_balanced,237,0.926829268292683,0.058544303797468354,0.03048780487804878,0.08881578947368421,20,0.2,51.59615731239319,16,,0.776,0.773,0.553,0.789,0.764,0.756,0.756,0.797,0.211,0.244,0.203
complete_autism,1292,DecisionTree,imputation,knn,"['S_postural_sway', 'mean_gaze_percent_right', 'proportion_of_name_call_responses', 'gaze_silhouette_score', 'NS_postural_sway_derivative', 'average_length']",6,True,True,without,asd_td_age_matched_n_balanced,237,0.926829268292683,0.0829817158931083,0.0494579945799458,0.11915204678362573,20,0.2,0.022320985794067383,16,,0.738,0.748,0.485,0.807,0.675,0.697,0.697,0.79,0.193,0.303,0.21
complete_autism,3858,xgboost,imputation,knn,"['S_postural_sway', 'mean_gaze_percent_right', 'NS_postural_sway', 'proportion_of_name_call_responses']",4,True,False,without,asd_td_age_matched_n_unbalanced,297,0.32,0.04419191919191919,0.029444444444444443,0.09027777777777778,20,0.2,5.1299426555633545,16,,0.764,0.507,0.352,0.5,0.849,0.514,0.514,0.841,0.5,0.486,0.159
complete_autism,2979,nam,encoding,without,"['S_postural_sway', 'mean_gaze_percent_right', 'NS_postural_sway', 'proportion_of_name_call_responses']",4,True,False,smote,asd_td_age_matched_n_unbalanced,297,0.32,0.04419191919191919,0.029444444444444443,0.09027777777777778,20,0.2,285.11423993110657,16,0.826,0.7586999999999999,0.15150000000000002,0.1318,0.08859999999999998,0.9728000000000001,0.5123,0.5123,0.7693,0.9114000000000001,0.4877000000000001,0.23070000000000004
complete_autism,853,xgboost,imputation,mice,"['S_postural_sway', 'mean_gaze_percent_right']",2,True,True,without,asd_td_age_matched_n_balanced,237,0.926829268292683,0.05907172995780591,0.03048780487804878,0.08991228070175439,20,0.2,4.772262811660767,16,,0.726,0.73,0.456,0.772,0.683,0.693,0.693,0.764,0.228,0.307,0.236
complete_autism,967,DecisionTree,imputation,mice,"['S_postural_sway', 'mean_gaze_percent_right', 'NS_postural_sway', 'proportion_of_name_call_responses']",4,True,True,vanilla,asd_td_age_matched_n_unbalanced,297,0.32,0.04419191919191919,0.029444444444444443,0.09027777777777778,20,0.2,0.0065860748291015625,8,,0.805,0.561,0.439,0.514,0.898,0.617,0.617,0.852,0.486,0.383,0.148
complete_autism,273,xgboost,encoding,without,"['S_postural_sway', 'mean_gaze_percent_right', 'proportion_of_name_call_responses', 'gaze_silhouette_score', 'NS_postural_sway_derivative']",5,False,True,vanilla,asd_td_age_matched_n_balanced,237,0.926829268292683,0.11561181434599156,0.06016260162601626,0.17543859649122806,20,0.2,5.831618547439575,16,,0.776,0.778,0.556,0.816,0.74,0.744,0.744,0.812,0.184,0.256,0.188
